node,degree,class,class_degree,score
1,9.294818612630471e-05,1,0.00011951481748039552,2.656663135409081e-05
62,0.00013064228788417365,0,7.888832655427415e-05,-5.1753961329899505e-05
121,9.165437991091324e-05,1,0.0001476544539245881,5.600007401367486e-05
341,8.268159335984333e-05,0,5.4000047429486646e-05,-2.8681545930356686e-05
349,0.00013185809703240985,0,4.7898898583855444e-05,-8.395919844855441e-05
389,0.00010316801113779071,0,5.5635679828355006e-05,-4.75323313094357e-05
413,0.00010311304951944578,0,5.300955619564812e-05,-5.010349332379766e-05
446,2.9134265067004715e-05,0,2.1975576142099773e-05,-7.158688924904942e-06
484,8.808565596476956e-05,0,4.7146602763259104e-05,-4.093905320151045e-05
659,9.808526484442769e-05,1,0.00023452733024455317,0.0001364420654001255
677,0.00012556343688756842,1,0.0002991540491389754,0.00017359061225140696
680,9.819866341510559e-05,1,0.00023353245017697998,0.00013533378676187439
739,8.43608932561318e-05,1,0.00013585780826256728,5.1496915006435485e-05
903,5.6887067563017775e-05,0,2.268039018871898e-05,-3.4206677374298794e-05
905,0.00012879946876202594,1,0.0001645638330098867,3.5764364247860774e-05
983,0.00012821581728832373,0,7.00705682609609e-05,-5.814524902736284e-05
1104,3.3009890420454094e-05,0,2.367350789852916e-05,-9.336382521924933e-06
1130,5.5629345837204034e-05,0,3.305598481515266e-05,-2.2573361022051374e-05
1173,9.766128548417195e-05,0,6.908075253516097e-05,-2.8580532949010974e-05
1206,0.0001593173330351443,0,9.910953595163988e-05,-6.020779708350441e-05
1237,0.0007425332867873999,0,0.00046827991990503354,-0.00027425336688236636
1294,0.0005320506243493395,1,0.00014975259157472268,-0.0003822980327746169
1368,9.013854438899367e-05,0,5.353436426782772e-05,-3.6604180121165945e-05
1501,0.00013019830239640736,0,0.0001027906617098039,-2.740764068660345e-05
1585,0.0002328109957041118,1,0.00032119627100805063,8.838527530393884e-05
1590,7.594117210791564e-05,1,0.00014884334847538707,7.290217636747142e-05
1609,0.00013836956469999534,0,7.236347547726806e-05,-6.600608922272729e-05
1621,0.00021688632144295077,1,0.0003203158361310452,0.00010342951468809443
1666,0.00011915359752307205,0,5.666368520746308e-05,-6.248991231560898e-05
1718,0.0002715461296916671,1,0.0001270124970628462,-0.00014453363262882088
1759,0.00033942930993730556,1,0.000540352428043816,0.00020092311810651045
1883,0.0008253163384213698,1,0.00041153772645047,-0.0004137786119708998
